0x7083609fce4d1d8dc0c979aab8c869ea2c873402 # DOT | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=34.8813 v2=WBNB v3=WBNB@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xc748673057861a797275cd8a068abb95a902e8de # BabyDoge | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x4338665cbb7b2485a8855a139b75d5e34ab0db94 # LTC | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@2500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xd5eaaac47bd1993d661bc087e15dfb079a7f3c19 # KOMA | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@100+WBNB@10000+USDT@3000+USDT@10000
0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413 # Cheems | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=USDT@3000+USDT@10000
0x55d398326f99059ff775485246999027b3197955 # USDT | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@100+WBNB@500+WBNB@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000
0xc51a9250795c0186a6fb4a7d20a90330651e4444 # 我踏马来了 | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=USDT@3000+USDT@10000
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82 # Cake | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe # XRP | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x000ae314e2a2172a039b26378814c252734f556a # ASTER | vetted 2026-09-17 | tax 0/0 | owner none | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@2500+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x80f1ff15b887cb19295d88c8c16f89d47f6d8888,0x55d398326f99059ff775485246999027b3197955 # COCO | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=USDT v3=WBNB@2500+USDT@100 uni=USDT@100
0x4b0f1812e5df2a09796481ff14017e6005508003 # TWT | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb # SFP | vetted 2026-09-17 | tax 0/0 | owner none | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@3000+WBNB@10000+USDT@500+USDT@10000
0x924fa68a0fc644485b8df8abfa0a41c2e7744444 # 币安人生 | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@10000 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x86bb94ddd16efc8bc58e6b056e8df71d9e666429 # TST | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
